,Player Name,Players ID,Years Active,Position Played
0,Jack  Atkinson,d02d0b99,2017-2018,GK
1,Finlay  Barnes,9a2e2d76,2017-2019,MF
2,Reece  Hannam,974b8e7f,2017-2020,DF
3,Emmanuel  Idem,a5433d93,2017-2020,GK
4,Sandy  MacIver,90ebe6bf,2019-2020,GK
5,Andrew  McCorkell,e0428e0e,2017-2020,MF
6,Rayhaan  Tulloch,bddd8ba3,2017-2020,MF
7,Vencislav  Vasilev,0994ccc7,2019-2020,GK
8,Max Aarons,774cf58b,2017-2020,DF
9,Rolando Aarons,c5942695,2014-2020,MF
10,Godwin Abadaki,71747f18,2017-2018,FW
11,Brad Abbott,d6fa48c0,2014-2020,MF
12,Gary Ablett 1992-1996 · DF · Everton,ab708080,1992-1996,DF
13,Tammy Abraham,f586779e,2015-2020,FW
14,Timmy Abraham,94ad5868,2018-2020,FW
15,Tristan Abrahams,cfd667ae,2016-2020,FW
16,Emile Acauah,9fa500fb,2018-2020,FW
17,Anthony Acheampong,b8aaeeed,2016-2017,DF
18,Mathew Achuba,c856c90c,2018-2020,DF
19,Darren Acton,e78705b8,2016-2018,GK
20,Blair Adams,739a0921,2011-2018,DF
21,Charlee Adams,7d80136e,2013-2020,MF
22,Charlie Adams,a6d6e9d0,2012-2019,MF
23,Che Adams,f2bf1b0f,2014-2020,MF
24,Kielen Adams,453fa582,2019-2020,FW
25,Micky Adams 1992-1994 · DF · Southampton,852a4f4d,1992-1994,DF
26,Mo Adams,00362ef7,2018-2019,MF
27,"Neil Adams 1992-1995 · MF · Norwich City, Oldham Athletic",3ffdc43f,1992-1995,MF
28,"Tony Adams 1992-2002 · DF · Arsenal, England",26b5e727,1992-2002,DF
29,Fisayo Adarabioyo,3a4a234c,2015-2018,FW
30,Tosin Adarabioyo,c81d773d,2015-2020,DF
31,Alex Addai,2ae8286c,2016-2020,FW
32,Corey Addai,a95f407f,2015-2019,GK
33,Angela Addison,4fdc46a1,2019-2020,MF
34,Miles Addison,ccc9bd95,2005-2017,MF
35,Elijah Adebayo,0480ebc7,2017-2020,FW
36,Tobi Adebayo-Rowling,a60a16ce,2014-2019,DF
37,Rio Adebisi,94fe66e5,2019-2020,DF
38,Manny Adebowale,6b540029,2017-2020,DF
39,Victor Adeboyejo,e3c24495,2014-2020,FW
40,Hakeeb Adelakun,042d182c,2012-2020,FW
41,Oluwatomisin Adeloye,eb8afd9e,2017-2020,FW
42,Dennis Adeniran,506eff98,2016-2020,MF
43,Sam Adewusi,9cdc9840,2018-2019,MF
44,Tom Adeyemi,e278cebf,2009-2018,MF
45,Tashan Adeyinka,40d0f9e8,2015-2016,FW
46,Daniel Adshead,8f817fc7,2017-2020,MF
47,Les Afful,6e618102,2005-2009,MF
48,Oladapo Afolayan,5054c359,2017-2020,FW
49,Kieran Agard,a6c9bf1c,2009-2020,FW
50,Gabby Agbonlahor,db80f5f1,2005-2018,FW
51,David Agbontohoma,e56c5673,2019-2020,FW
52,Manny Agboola,f381c1de,2016-2020,GK
53,Lily Agg,6ef8cf5a,2017-2018,FW
54,Benjamin Aghadiuno,8cadd783,2017-2018,FW
55,Sam Agius,8d5e1cb7,2018-2020,GK
56,Liam Agnew,0b93efcd,2014-2020,MF
57,Harry Agombar,59e83b25,2009-2015,FW
